soc_code,onet_soc_code,occupation_title,task,task_type,source_date,rank
25-1112,25-1112.00,"Law Teachers, Postsecondary","Prepare course materials, such as syllabi, homework assignments, and handouts.",Core,08/2019,3
25-1112,25-1112.00,"Law Teachers, Postsecondary","Keep abreast of developments in the field by reading current literature, talking with colleagues, and participating in professional conferences.",Core,08/2019,4
25-1112,25-1112.00,"Law Teachers, Postsecondary","Select and obtain materials and supplies, such as textbooks.",Core,08/2019,5
25-1112,25-1112.00,"Law Teachers, Postsecondary","Maintain student attendance records, grades, and other required records.",Core,08/2019,6
25-1112,25-1112.00,"Law Teachers, Postsecondary",Act as advisers to student organizations.,Core,08/2019,7
25-1112,25-1112.00,"Law Teachers, Postsecondary",Assign cases for students to hear and try.,Core,08/2019,8
25-1112,25-1112.00,"Law Teachers, Postsecondary","Compile, administer, and grade examinations, or assign this work to others.",Core,08/2019,9
25-1112,25-1112.00,"Law Teachers, Postsecondary","Prepare and deliver lectures to undergraduate or graduate students on topics such as civil procedure, contracts, and torts.",Core,08/2019,10
25-1112,25-1112.00,"Law Teachers, Postsecondary","Plan, evaluate, and revise curricula, course content, course materials, and methods of instruction.",Core,08/2019,11
25-1112,25-1112.00,"Law Teachers, Postsecondary",Maintain regularly scheduled office hours to advise and assist students.,Core,08/2019,12
25-1113,25-1113.00,"Social Work Teachers, Postsecondary","Initiate, facilitate, and moderate classroom discussions.",Core,08/2021,1
25-1113,25-1113.00,"Social Work Teachers, Postsecondary","Supervise undergraduate or graduate teaching, internship, and research work.",Core,08/2021,2
25-1113,25-1113.00,"Social Work Teachers, Postsecondary",Maintain regularly scheduled office hours to advise and assist students.,Core,08/2021,3
25-1113,25-1113.00,"Social Work Teachers, Postsecondary",Collaborate with colleagues and community agencies to address teaching and research issues.,Core,08/2021,4
25-1113,25-1113.00,"Social Work Teachers, Postsecondary","Compile, administer, and grade examinations, or assign this work to others.",Core,08/2021,5
25-1113,25-1113.00,"Social Work Teachers, Postsecondary",Advise students on academic and vocational curricula and on career issues.,Core,08/2021,6
25-1113,25-1113.00,"Social Work Teachers, Postsecondary",Compile bibliographies of specialized materials for outside reading assignments.,Core,08/2021,7
25-1113,25-1113.00,"Social Work Teachers, Postsecondary",Mentor new faculty members.,Core,08/2021,8
25-1113,25-1113.00,"Social Work Teachers, Postsecondary","Evaluate and grade students' class work, assignments, and papers.",Core,08/2021,9
25-1113,25-1113.00,"Social Work Teachers, Postsecondary","Prepare and deliver lectures to undergraduate or graduate students on topics such as family behavior, child and adolescent mental health, or social intervention evaluation.",Core,08/2021,10
25-1113,25-1113.00,"Social Work Teachers, Postsecondary","Keep abreast of developments in the field by reading current literature, talking with colleagues, and participating in professional conferences.",Core,08/2021,11
25-1113,25-1113.00,"Social Work Teachers, Postsecondary",Supervise students' laboratory and field work.,Core,08/2021,12
25-1121,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary","Evaluate and grade students' class work, performances, projects, assignments, and papers.",Core,08/2019,1
25-1121,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",Explain and demonstrate artistic techniques.,Core,08/2019,2
25-1121,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary","Prepare students for performances, exams, or assessments.",Core,08/2019,3
25-1121,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary","Keep abreast of developments in the field by reading current literature, talking with colleagues, and participating in professional conferences.",Core,08/2019,4
25-1121,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary","Maintain student attendance records, grades, and other required records.",Core,08/2019,5
25-1121,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary","Participate in student recruitment, registration, and placement activities.",Core,08/2019,6
25-1121,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",Participate in campus and community events.,Core,08/2019,7
25-1121,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary","Prepare and deliver lectures to undergraduate or graduate students on topics such as acting techniques, fundamentals of music, and art history.",Core,08/2019,8
25-1121,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary","Prepare course materials, such as syllabi, homework assignments, and handouts.",Core,08/2019,9
25-1121,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",Advise students on academic and vocational curricula and on career issues.,Core,08/2019,10
25-1121,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary","Plan, evaluate, and revise curricula, course content, course materials, and methods of instruction.",Core,08/2019,11
25-1121,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",Maintain regularly scheduled office hours to advise and assist students.,Core,08/2019,12
25-1122,25-1122.00,"Communications Teachers, Postsecondary","Evaluate and grade students' class work, assignments, and papers.",Core,08/2019,1
25-1122,25-1122.00,"Communications Teachers, Postsecondary","Prepare course materials, such as syllabi, homework assignments, and handouts.",Core,08/2019,2
25-1122,25-1122.00,"Communications Teachers, Postsecondary","Initiate, facilitate, and moderate classroom discussions.",Core,08/2019,3
25-1122,25-1122.00,"Communications Teachers, Postsecondary","Compile, administer, and grade examinations, or assign this work to others.",Core,08/2019,4
25-1122,25-1122.00,"Communications Teachers, Postsecondary","Maintain student attendance records, grades, and other required records.",Core,08/2019,5
25-1122,25-1122.00,"Communications Teachers, Postsecondary","Plan, evaluate, and revise curricula, course content, course materials, and methods of instruction.",Core,08/2019,6
25-1122,25-1122.00,"Communications Teachers, Postsecondary",Maintain regularly scheduled office hours to advise and assist students.,Core,08/2019,7
25-1122,25-1122.00,"Communications Teachers, Postsecondary",Advise students on academic and vocational curricula and on career issues.,Core,08/2019,8
25-1122,25-1122.00,"Communications Teachers, Postsecondary","Select and obtain materials and supplies, such as textbooks.",Core,08/2019,9
25-1122,25-1122.00,"Communications Teachers, Postsecondary",Collaborate with colleagues to address teaching and research issues.,Core,08/2019,10
25-1122,25-1122.00,"Communications Teachers, Postsecondary","Conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media.",Core,08/2019,11
25-1122,25-1122.00,"Communications Teachers, Postsecondary","Serve on academic or administrative committees that deal with institutional policies, departmental matters, and academic issues.",Core,08/2019,12
25-1123,25-1123.00,"English Language and Literature Teachers, Postsecondary","Initiate, facilitate, and moderate classroom discussions.",Core,08/2019,1
25-1123,25-1123.00,"English Language and Literature Teachers, Postsecondary","Evaluate and grade students' class work, assignments, and papers.",Core,08/2019,2
25-1123,25-1123.00,"English Language and Literature Teachers, Postsecondary","Maintain student attendance records, grades, and other required records.",Core,08/2019,3
25-1123,25-1123.00,"English Language and Literature Teachers, Postsecondary",Maintain regularly scheduled office hours to advise and assist students.,Core,08/2019,4
25-1123,25-1123.00,"English Language and Literature Teachers, Postsecondary","Select and obtain materials and supplies, such as textbooks.",Core,08/2019,5
25-1123,25-1123.00,"English Language and Literature Teachers, Postsecondary",Advise students on academic and vocational curricula and on career issues.,Core,08/2019,6
25-1123,25-1123.00,"English Language and Literature Teachers, Postsecondary",Assist students who need extra help with their coursework outside of class.,Core,08/2019,7
25-1123,25-1123.00,"English Language and Literature Teachers, Postsecondary",Schedule courses.,Core,08/2019,8
25-1123,25-1123.00,"English Language and Literature Teachers, Postsecondary","Prepare course materials, such as syllabi, homework assignments, and handouts.",Core,08/2019,9
25-1123,25-1123.00,"English Language and Literature Teachers, Postsecondary","Prepare and deliver lectures to undergraduate or graduate students on topics such as poetry, novel structure, and translation and adaptation.",Core,08/2019,10
25-1123,25-1123.00,"English Language and Literature Teachers, Postsecondary","Plan, evaluate, and revise curricula, course content, course materials, and methods of instruction.",Core,08/2019,11
25-1123,25-1123.00,"English Language and Literature Teachers, Postsecondary","Compile, administer, and grade examinations, or assign this work to others.",Core,08/2019,12
25-1124,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary","Initiate, facilitate, and moderate classroom discussions.",Core,08/2019,1
25-1124,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary","Maintain student attendance records, grades, and other required records.",Core,08/2019,2
25-1124,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary","Select and obtain materials and supplies, such as textbooks.",Core,08/2019,3
25-1124,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary","Conduct research in a particular field of knowledge and publish findings in scholarly journals, books, or electronic media.",Core,08/2019,4
25-1124,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",Compile bibliographies of specialized materials for outside reading assignments.,Core,08/2019,5
25-1124,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",Participate in campus and community events.,Core,08/2019,6
25-1124,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary","Perform administrative duties, such as serving as department head.",Core,08/2019,7
25-1124,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary","Evaluate and grade students' class work, assignments, and papers.",Core,08/2019,8
25-1124,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary","Prepare course materials, such as syllabi, homework assignments, and handouts.",Core,08/2019,9
25-1124,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary","Compile, administer, and grade examinations, or assign this work to others.",Core,08/2019,10
25-1124,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",Maintain regularly scheduled office hours to advise and assist students.,Core,08/2019,11
25-1124,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary","Keep abreast of developments in their field by reading current literature, talking with colleagues, and participating in professional organizations and activities.",Core,08/2019,12
25-1125,25-1125.00,"History Teachers, Postsecondary","Prepare and deliver lectures to undergraduate or graduate students on topics such as ancient history, postwar civilizations, and the history of third-world countries.",Core,08/2019,1
25-1125,25-1125.00,"History Teachers, Postsecondary","Evaluate and grade students' class work, assignments, and papers.",Core,08/2019,2
25-1125,25-1125.00,"History Teachers, Postsecondary","Prepare course materials, such as syllabi, homework assignments, and handouts.",Core,08/2019,3
25-1125,25-1125.00,"History Teachers, Postsecondary","Compile, administer, and grade examinations, or assign this work to others.",Core,08/2019,4
25-1125,25-1125.00,"History Teachers, Postsecondary","Initiate, facilitate, and moderate classroom discussions.",Core,08/2019,5
25-1125,25-1125.00,"History Teachers, Postsecondary","Keep abreast of developments in the field by reading current literature, talking with colleagues, and participating in professional conferences.",Core,08/2019,6
25-1125,25-1125.00,"History Teachers, Postsecondary","Maintain student attendance records, grades, and other required records.",Core,08/2019,7
25-1125,25-1125.00,"History Teachers, Postsecondary","Plan, evaluate, and revise curricula, course content, course materials, and methods of instruction.",Core,08/2019,8
25-1125,25-1125.00,"History Teachers, Postsecondary",Maintain regularly scheduled office hours to advise and assist students.,Core,08/2019,9
25-1125,25-1125.00,"History Teachers, Postsecondary","Select and obtain materials and supplies, such as textbooks.",Core,08/2019,10
25-1125,25-1125.00,"History Teachers, Postsecondary",Advise students on academic and vocational curricula and on career issues.,Core,08/2019,11
25-1125,25-1125.00,"History Teachers, Postsecondary",Collaborate with colleagues to address teaching and research issues.,Core,08/2019,12
25-1126,25-1126.00,"Philosophy and Religion Teachers, Postsecondary","Evaluate and grade students' class work, assignments, and papers.",Core,08/2019,1
25-1126,25-1126.00,"Philosophy and Religion Teachers, Postsecondary","Prepare course materials, such as syllabi, homework assignments, and handouts.",Core,08/2019,2
25-1126,25-1126.00,"Philosophy and Religion Teachers, Postsecondary","Compile, administer, and grade examinations, or assign this work to others.",Core,08/2019,3
25-1126,25-1126.00,"Philosophy and Religion Teachers, Postsecondary","Keep abreast of developments in the field by reading current literature, talking with colleagues, and participating in professional conferences.",Core,08/2019,4
25-1126,25-1126.00,"Philosophy and Religion Teachers, Postsecondary","Plan, evaluate, and revise curricula, course content, course materials, and methods of instruction.",Core,08/2019,5
25-1126,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",Maintain regularly scheduled office hours to advise and assist students.,Core,08/2019,6
25-1126,25-1126.00,"Philosophy and Religion Teachers, Postsecondary","Select and obtain materials and supplies, such as textbooks.",Core,08/2019,7
25-1126,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",Advise students on academic and vocational curricula and on career issues.,Core,08/2019,8
25-1126,25-1126.00,"Philosophy and Religion Teachers, Postsecondary","Conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media.",Core,08/2019,9
25-1126,25-1126.00,"Philosophy and Religion Teachers, Postsecondary","Serve on academic or administrative committees that deal with institutional policies, departmental matters, and academic issues.",Core,08/2019,10
25-1126,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",Collaborate with colleagues to address teaching and research issues.,Core,08/2019,11
25-1126,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",Compile bibliographies of specialized materials for outside reading assignments.,Core,08/2019,12
25-1192,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary","Evaluate and grade students' class work, laboratory work, projects, assignments, and papers.",Core,08/2019,1
25-1192,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary","Initiate, facilitate, and moderate classroom discussions.",Core,08/2019,2
25-1192,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary","Prepare and deliver lectures to undergraduate or graduate students on topics such as food science, nutrition, and child care.",Core,08/2019,3
25-1192,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary","Keep abreast of developments in the field by reading current literature, talking with colleagues, and participating in professional conferences.",Core,08/2019,4
25-1192,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary","Maintain student attendance records, grades, and other required records.",Core,08/2019,5
25-1192,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary","Plan, evaluate, and revise curricula, course content, course materials, and methods of instruction.",Core,08/2019,6
25-1192,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary","Compile, administer, and grade examinations, or assign this work to others.",Core,08/2019,7
25-1192,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary","Select and obtain materials and supplies, such as textbooks.",Core,08/2019,8
25-1192,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary","Participate in student recruitment, registration, and placement activities.",Core,08/2019,9
25-1192,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary","Serve on academic or administrative committees that deal with institutional policies, departmental matters, and academic issues.",Core,08/2019,10
25-1192,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",Participate in campus and community events.,Core,08/2019,11
25-1192,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",Compile bibliographies of specialized materials for outside reading assignments.,Core,08/2019,12
25-1193,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary","Evaluate and grade students' class work, assignments, and papers.",Core,08/2019,1
25-1193,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary","Maintain student attendance records, grades, and other required records.",Core,08/2019,2
25-1193,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary","Prepare and deliver lectures to undergraduate or graduate students on topics such as anatomy, therapeutic recreation, and conditioning theory.",Core,08/2019,3
25-1193,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary","Prepare course materials, such as syllabi, homework assignments, and handouts.",Core,08/2019,4
25-1193,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary","Compile, administer, and grade examinations, or assign this work to others.",Core,08/2019,5
25-1193,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",Maintain regularly scheduled office hours to advise and assist students.,Core,08/2019,6
25-1193,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary","Plan, evaluate, and revise curricula, course content, course materials, and methods of instruction.",Core,08/2019,7
25-1193,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary","Initiate, facilitate, and moderate classroom discussions.",Core,08/2019,8
25-1193,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary","Keep abreast of developments in the field by reading current literature, talking with colleagues, and participating in professional conferences.",Core,08/2019,9
25-1193,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",Advise students on academic and vocational curricula and on career issues.,Core,08/2019,10
25-1193,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary","Participate in student recruitment, registration, and placement activities.",Core,08/2019,11
25-1193,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary","Select and obtain materials and supplies, such as textbooks.",Core,08/2019,12
25-1194,25-1194.00,"Career/Technical Education Teachers, Postsecondary",Determine training needs of students or workers.,Core,08/2019,1
25-1194,25-1194.00,"Career/Technical Education Teachers, Postsecondary","Present lectures and conduct discussions to increase students' knowledge and competence using visual aids, such as graphs, charts, videotapes, and slides.",Core,08/2019,2
25-1194,25-1194.00,"Career/Technical Education Teachers, Postsecondary","Supervise independent or group projects, field placements, laboratory work, or other training.",Core,08/2019,3
25-1194,25-1194.00,"Career/Technical Education Teachers, Postsecondary",Arrange for lectures by experts in designated fields.,Core,08/2019,4
25-1194,25-1194.00,"Career/Technical Education Teachers, Postsecondary","Administer oral, written, or performance tests to measure progress and to evaluate training effectiveness.",Core,08/2019,5
25-1194,25-1194.00,"Career/Technical Education Teachers, Postsecondary","Prepare reports and maintain records, such as student grades, attendance rolls, and training activity details.",Core,08/2019,6
25-1194,25-1194.00,"Career/Technical Education Teachers, Postsecondary","Conduct on-the-job training classes or training sessions to teach and demonstrate principles, techniques, procedures, or methods of designated subjects.",Core,08/2019,7
25-1194,25-1194.00,"Career/Technical Education Teachers, Postsecondary",Prepare outlines of instructional programs and training schedules and establish course goals.,Core,08/2019,8
25-1194,25-1194.00,"Career/Technical Education Teachers, Postsecondary",Integrate academic and vocational curricula so that students can obtain a variety of skills.,Core,08/2019,9
25-1194,25-1194.00,"Career/Technical Education Teachers, Postsecondary","Select and assemble books, materials, supplies, and equipment for training, courses, or projects.",Core,08/2019,10
25-1194,25-1194.00,"Career/Technical Education Teachers, Postsecondary","Acquire, maintain, and repair laboratory equipment and tools.",Core,08/2019,11
25-1194,25-1194.00,"Career/Technical Education Teachers, Postsecondary",Supervise and monitor students' use of tools and equipment.,Core,08/2019,12
25-2011,25-2011.00,"Preschool Teachers, Except Special Education","Provide a variety of materials and resources for children to explore, manipulate, and use, both in learning activities and in imaginative play.",Core,08/2019,1
25-2011,25-2011.00,"Preschool Teachers, Except Special Education","Observe and evaluate children's performance, behavior, social development, and physical health.",Core,08/2019,2
25-2011,25-2011.00,"Preschool Teachers, Except Special Education","Assimilate arriving children to the school environment by greeting them, helping them remove outerwear, and selecting activities of interest to them.",Core,08/2019,3
25-2011,25-2011.00,"Preschool Teachers, Except Special Education","Arrange indoor and outdoor space to facilitate creative play, motor-skill activities, and safety.",Core,08/2019,4
25-2011,25-2011.00,"Preschool Teachers, Except Special Education",Organize and label materials and display students' work in a manner appropriate for their ages and perceptual skills.,Core,08/2019,5
25-2011,25-2011.00,"Preschool Teachers, Except Special Education",Meet with other professionals to discuss individual students' needs and progress.,Core,08/2019,6
25-2011,25-2011.00,"Preschool Teachers, Except Special Education",Establish and enforce rules for behavior and procedures for maintaining order.,Core,08/2019,7
25-2011,25-2011.00,"Preschool Teachers, Except Special Education","Organize and lead activities designed to promote physical, mental, and social development, such as games, arts and crafts, music, storytelling, and field trips.",Core,08/2019,8
25-2011,25-2011.00,"Preschool Teachers, Except Special Education","Identify children showing signs of emotional, developmental, or health-related problems and discuss them with supervisors, parents or guardians, and child development specialists.",Core,08/2019,9
25-2011,25-2011.00,"Preschool Teachers, Except Special Education","Meet with parents and guardians to discuss their children's progress and needs, determine their priorities for their children, and suggest ways that they can promote learning and development.",Core,08/2019,10
25-2011,25-2011.00,"Preschool Teachers, Except Special Education",Prepare materials and classrooms for class activities.,Core,08/2019,11
25-2011,25-2011.00,"Preschool Teachers, Except Special Education",Teach proper eating habits and personal hygiene.,Core,08/2019,12
25-2012,25-2012.00,"Kindergarten Teachers, Except Special Education",Establish and enforce rules for behavior and policies and procedures to maintain order among students.,Core,08/2018,1
25-2012,25-2012.00,"Kindergarten Teachers, Except Special Education","Observe and evaluate children's performance, behavior, social development, and physical health.",Core,08/2018,2
25-2012,25-2012.00,"Kindergarten Teachers, Except Special Education",Read books to entire classes or to small groups.,Core,08/2018,3
25-2012,25-2012.00,"Kindergarten Teachers, Except Special Education","Confer with parents or guardians, other teachers, counselors, and administrators to resolve students' behavioral and academic problems.",Core,08/2018,4
25-2012,25-2012.00,"Kindergarten Teachers, Except Special Education",Prepare children for later grades by encouraging them to explore learning opportunities and to persevere with challenging tasks.,Core,08/2018,5
25-2012,25-2012.00,"Kindergarten Teachers, Except Special Education","Establish clear objectives for all lessons, units, and projects and communicate those objectives to children.",Core,08/2018,6
25-2012,25-2012.00,"Kindergarten Teachers, Except Special Education",Guide and counsel students with adjustment or academic problems or special academic interests.,Core,08/2018,7
25-2012,25-2012.00,"Kindergarten Teachers, Except Special Education",Instruct and monitor students in the use and care of equipment and materials to prevent injuries and damage.,Core,08/2018,8
25-2012,25-2012.00,"Kindergarten Teachers, Except Special Education","Identify children showing signs of emotional, developmental, or health-related problems and discuss them with supervisors, parents or guardians, and child development specialists.",Core,08/2018,9
25-2012,25-2012.00,"Kindergarten Teachers, Except Special Education","Prepare materials, classrooms, and other indoor and outdoor spaces to facilitate creative play, learning and motor-skill activities, and safety.",Core,08/2018,10
25-2012,25-2012.00,"Kindergarten Teachers, Except Special Education","Collaborate with other teachers and administrators in the development, evaluation, and revision of kindergarten programs.",Core,08/2018,11
25-2012,25-2012.00,"Kindergarten Teachers, Except Special Education","Prepare, administer, and grade tests and assignments to evaluate children's progress.",Core,08/2018,12
25-2021,25-2021.00,"Elementary School Teachers, Except Special Education",Establish and enforce rules for behavior and procedures for maintaining order among the students.,Core,08/2024,1
25-2021,25-2021.00,"Elementary School Teachers, Except Special Education","Observe and evaluate students' performance, behavior, social development, and physical health.",Core,08/2024,2
25-2021,25-2021.00,"Elementary School Teachers, Except Special Education","Plan and conduct activities for a balanced program of instruction, demonstration, and work time that provides students with opportunities to observe, question, and investigate.",Core,08/2024,3
25-2021,25-2021.00,"Elementary School Teachers, Except Special Education","Instruct students individually and in groups, using teaching methods such as lectures, discussions, and demonstrations.",Core,08/2024,4
25-2021,25-2021.00,"Elementary School Teachers, Except Special Education","Establish clear objectives for all lessons, units, and projects and communicate those objectives to students.",Core,08/2024,5
25-2021,25-2021.00,"Elementary School Teachers, Except Special Education",Assign and grade class work and homework.,Core,08/2024,6
25-2021,25-2021.00,"Elementary School Teachers, Except Special Education",Read books to entire classes or small groups.,Core,08/2024,7
25-2021,25-2021.00,"Elementary School Teachers, Except Special Education","Prepare, administer, and grade tests and assignments to evaluate students' progress.",Core,08/2024,8
25-2021,25-2021.00,"Elementary School Teachers, Except Special Education","Confer with parents or guardians, teachers, counselors, and administrators to resolve students' behavioral and academic problems.",Core,08/2024,9
25-2021,25-2021.00,"Elementary School Teachers, Except Special Education",Meet with parents and guardians to discuss their children's progress and to determine priorities for their children and their resource needs.,Core,08/2024,10
25-2021,25-2021.00,"Elementary School Teachers, Except Special Education","Maintain accurate and complete student records as required by laws, district policies, and administrative regulations.",Core,08/2024,11
25-2021,25-2021.00,"Elementary School Teachers, Except Special Education",Guide and counsel students with adjustment or academic problems or with special academic interests.,Core,08/2024,12
25-2022,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education",Establish and enforce rules for behavior and procedures for maintaining order among students.,Core,08/2024,1
25-2022,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education","Instruct through lectures, discussions, and demonstrations in one or more subjects, such as English, mathematics, or social studies.",Core,08/2024,2
25-2022,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education","Prepare, administer, and grade tests and assignments to evaluate students' progress.",Core,08/2024,3
25-2022,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education","Establish clear objectives for all lessons, units, and projects, and communicate these objectives to students.",Core,08/2024,4
25-2022,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education","Plan and conduct activities for a balanced program of instruction, demonstration, and work time that provides students with opportunities to observe, question, and investigate.",Core,08/2024,5
25-2022,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education","Observe and evaluate students' performance, behavior, social development, and physical health.",Core,08/2024,6
25-2022,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education",Prepare materials and classrooms for class activities.,Core,08/2024,7
25-2022,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education",Assign lessons and correct homework.,Core,08/2024,8
25-2022,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education","Confer with parents or guardians, other teachers, counselors, and administrators to resolve students' behavioral and academic problems.",Core,08/2024,9
25-2022,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education","Guide and counsel students with adjustment or academic problems, or special academic interests.",Core,08/2024,10
25-2022,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education","Use computers, audio-visual aids, and other equipment and materials to supplement presentations.",Core,08/2024,11
25-2022,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education",Instruct and monitor students in the use and care of equipment and materials to prevent injury and damage.,Core,08/2024,12
25-2023,25-2023.00,"Career/Technical Education Teachers, Middle School",Establish and enforce rules for behavior and procedures for maintaining order among students.,Core,08/2018,1
25-2023,25-2023.00,"Career/Technical Education Teachers, Middle School",Instruct and monitor students in the use and care of equipment and materials to prevent injuries and damage.,Core,08/2018,2
25-2023,25-2023.00,"Career/Technical Education Teachers, Middle School","Instruct students individually and in groups, using various teaching methods, such as lectures, discussions, and demonstrations.",Core,08/2018,3
25-2023,25-2023.00,"Career/Technical Education Teachers, Middle School","Maintain accurate and complete student records as required by laws, district policies, and administrative regulations.",Core,08/2018,4
25-2023,25-2023.00,"Career/Technical Education Teachers, Middle School","Establish clear objectives for all lessons, units, and projects, and communicate those objectives to students.",Core,08/2018,5
25-2023,25-2023.00,"Career/Technical Education Teachers, Middle School","Plan and conduct activities for a balanced program of instruction, demonstration, and work time that provides students with opportunities to observe, question, and investigate.",Core,08/2018,6
25-2023,25-2023.00,"Career/Technical Education Teachers, Middle School",Adapt teaching methods and instructional materials to meet students' varying needs and interests.,Core,08/2018,7
25-2023,25-2023.00,"Career/Technical Education Teachers, Middle School","Prepare, administer, and grade tests and assignments to evaluate students' progress.",Core,08/2018,8
25-2023,25-2023.00,"Career/Technical Education Teachers, Middle School",Enforce all administration policies and rules governing students.,Core,08/2018,9
25-2023,25-2023.00,"Career/Technical Education Teachers, Middle School",Assign and grade class work and homework.,Core,08/2018,10
25-2023,25-2023.00,"Career/Technical Education Teachers, Middle School","Observe and evaluate students' performance, behavior, social development, and physical health.",Core,08/2018,11
25-2023,25-2023.00,"Career/Technical Education Teachers, Middle School","Use computers, audio-visual aids, and other equipment and materials to supplement presentations.",Core,08/2018,12
25-2031,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",Instruct and monitor students in the use of equipment and materials to prevent injuries and damage.,Core,08/2025,1
25-2031,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education","Attend professional meetings, educational conferences, and teacher training workshops to maintain and improve professional competence.",Core,08/2025,2
25-2031,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",Prepare reports on students and activities as required by administration.,Core,08/2025,3
25-2031,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education","Establish clear objectives for all lessons, units, and projects, and communicate those objectives to students.",Core,08/2025,4
25-2031,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",Adapt teaching methods and instructional materials to meet students' varying needs and interests.,Core,08/2025,5
25-2031,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",Assign and grade class work and homework.,Core,08/2025,6
25-2031,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",Enforce all administration policies and rules governing students.,Core,08/2025,7
25-2031,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",Prepare students for later grades by encouraging them to explore learning opportunities and to persevere with challenging tasks.,Core,08/2025,8
25-2031,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education","Confer with parents or guardians, other teachers, counselors, and administrators to resolve students' behavioral and academic problems.",Core,08/2025,9
25-2031,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education","Confer with other staff members to plan and schedule lessons promoting learning, following approved curricula.",Core,08/2025,10
