soc_code,onet_soc_code,occupation_title,knowledge_area,importance,source_date,rank
25-2058,25-2058.00,"Special Education Teachers, Secondary School",Law and Government,3.08,08/2025,12
25-2058,25-2058.00,"Special Education Teachers, Secondary School",Personnel and Human Resources,2.9,08/2025,13
25-2058,25-2058.00,"Special Education Teachers, Secondary School",Communications and Media,2.88,08/2025,14
25-2058,25-2058.00,"Special Education Teachers, Secondary School",Geography,2.58,08/2025,15
25-3011,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",English Language,4.42,08/2018,1
25-3011,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",Education and Training,3.91,08/2018,2
25-3011,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",Customer and Personal Service,3.51,08/2018,3
25-3011,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",Administrative,3.17,08/2018,4
25-3011,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",Administration and Management,2.91,08/2018,5
25-3011,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",Mathematics,2.75,08/2018,6
25-3011,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",Psychology,2.67,08/2018,7
25-3011,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",Sociology and Anthropology,2.61,08/2018,8
25-3011,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",Computers and Electronics,2.49,08/2018,9
25-3011,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",Communications and Media,2.27,08/2018,10
25-3011,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",History and Archeology,2.26,08/2018,11
25-3011,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",Geography,2.25,08/2018,12
25-3011,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",Therapy and Counseling,2.17,08/2018,13
25-3011,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",Law and Government,2.02,08/2018,14
25-3011,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",Philosophy and Theology,1.96,08/2018,15
25-3021,25-3021.00,Self-Enrichment Teachers,Education and Training,4.27,08/2019,1
25-3021,25-3021.00,Self-Enrichment Teachers,Customer and Personal Service,3.49,08/2019,2
25-3021,25-3021.00,Self-Enrichment Teachers,English Language,3.25,08/2019,3
25-3021,25-3021.00,Self-Enrichment Teachers,Sociology and Anthropology,2.48,08/2019,4
25-3021,25-3021.00,Self-Enrichment Teachers,Computers and Electronics,2.46,08/2019,5
25-3021,25-3021.00,Self-Enrichment Teachers,Psychology,2.45,08/2019,6
25-3021,25-3021.00,Self-Enrichment Teachers,Mathematics,2.44,08/2019,7
25-3021,25-3021.00,Self-Enrichment Teachers,Foreign Language,2.44,08/2019,8
25-3021,25-3021.00,Self-Enrichment Teachers,Communications and Media,2.43,08/2019,9
25-3021,25-3021.00,Self-Enrichment Teachers,Sales and Marketing,2.42,08/2019,10
25-3021,25-3021.00,Self-Enrichment Teachers,Geography,2.19,08/2019,11
25-3021,25-3021.00,Self-Enrichment Teachers,Fine Arts,2.17,08/2019,12
25-3021,25-3021.00,Self-Enrichment Teachers,Administration and Management,2.07,08/2019,13
25-3021,25-3021.00,Self-Enrichment Teachers,Public Safety and Security,2.04,08/2019,14
25-3021,25-3021.00,Self-Enrichment Teachers,Administrative,2.02,08/2019,15
25-3031,25-3031.00,"Substitute Teachers, Short-Term",English Language,4.09,08/2025,1
25-3031,25-3031.00,"Substitute Teachers, Short-Term",Education and Training,3.29,08/2025,2
25-3031,25-3031.00,"Substitute Teachers, Short-Term",Public Safety and Security,3.18,08/2025,3
25-3031,25-3031.00,"Substitute Teachers, Short-Term",Customer and Personal Service,3.04,08/2025,4
25-3031,25-3031.00,"Substitute Teachers, Short-Term",Computers and Electronics,2.94,08/2025,5
25-3031,25-3031.00,"Substitute Teachers, Short-Term",Mathematics,2.8,08/2025,6
25-3031,25-3031.00,"Substitute Teachers, Short-Term",Psychology,2.79,08/2025,7
25-3031,25-3031.00,"Substitute Teachers, Short-Term",Communications and Media,2.55,08/2025,8
25-3031,25-3031.00,"Substitute Teachers, Short-Term",History and Archeology,2.41,08/2025,9
25-3031,25-3031.00,"Substitute Teachers, Short-Term",Geography,2.32,08/2025,10
25-3031,25-3031.00,"Substitute Teachers, Short-Term",Therapy and Counseling,2.31,08/2025,11
25-3031,25-3031.00,"Substitute Teachers, Short-Term",Administrative,2.3,08/2025,12
25-3031,25-3031.00,"Substitute Teachers, Short-Term",Philosophy and Theology,2.3,08/2025,13
25-3031,25-3031.00,"Substitute Teachers, Short-Term",Telecommunications,2.22,08/2025,14
25-3031,25-3031.00,"Substitute Teachers, Short-Term",Administration and Management,2.11,08/2025,15
25-4012,25-4012.00,Curators,English Language,4.57,08/2018,1
25-4012,25-4012.00,Curators,History and Archeology,4.52,08/2018,2
25-4012,25-4012.00,Curators,Fine Arts,3.76,08/2018,3
25-4012,25-4012.00,Curators,Administration and Management,3.33,08/2018,4
25-4012,25-4012.00,Curators,Sociology and Anthropology,3.3,08/2018,5
25-4012,25-4012.00,Curators,Communications and Media,3.2,08/2018,6
25-4012,25-4012.00,Curators,Administrative,3.14,08/2018,7
25-4012,25-4012.00,Curators,Education and Training,3.1,08/2018,8
25-4012,25-4012.00,Curators,Geography,3.08,08/2018,9
25-4012,25-4012.00,Curators,Customer and Personal Service,3.06,08/2018,10
25-4012,25-4012.00,Curators,Philosophy and Theology,3.01,08/2018,11
25-4012,25-4012.00,Curators,Computers and Electronics,2.83,08/2018,12
25-4012,25-4012.00,Curators,Design,2.52,08/2018,13
25-4012,25-4012.00,Curators,Sales and Marketing,2.51,08/2018,14
25-4012,25-4012.00,Curators,Foreign Language,2.43,08/2018,15
25-4013,25-4013.00,Museum Technicians and Conservators,Fine Arts,3.48,08/2018,1
25-4013,25-4013.00,Museum Technicians and Conservators,English Language,3.41,08/2018,2
25-4013,25-4013.00,Museum Technicians and Conservators,Public Safety and Security,3.3,08/2018,3
25-4013,25-4013.00,Museum Technicians and Conservators,History and Archeology,3.21,08/2018,4
25-4013,25-4013.00,Museum Technicians and Conservators,Administration and Management,3.1,08/2018,5
25-4013,25-4013.00,Museum Technicians and Conservators,Chemistry,3.08,08/2018,6
25-4013,25-4013.00,Museum Technicians and Conservators,Administrative,2.83,08/2018,7
25-4013,25-4013.00,Museum Technicians and Conservators,Mechanical,2.74,08/2018,8
25-4013,25-4013.00,Museum Technicians and Conservators,Production and Processing,2.69,08/2018,9
25-4013,25-4013.00,Museum Technicians and Conservators,Design,2.6,08/2018,10
25-4013,25-4013.00,Museum Technicians and Conservators,Mathematics,2.59,08/2018,11
25-4013,25-4013.00,Museum Technicians and Conservators,Education and Training,2.58,08/2018,12
25-4013,25-4013.00,Museum Technicians and Conservators,Communications and Media,2.48,08/2018,13
25-4013,25-4013.00,Museum Technicians and Conservators,Engineering and Technology,2.42,08/2018,14
25-4013,25-4013.00,Museum Technicians and Conservators,Transportation,2.4,08/2018,15
25-4022,25-4022.00,Librarians and Media Collections Specialists,Customer and Personal Service,4.61,08/2022,1
25-4022,25-4022.00,Librarians and Media Collections Specialists,English Language,4.39,08/2022,2
25-4022,25-4022.00,Librarians and Media Collections Specialists,Computers and Electronics,4.04,08/2022,3
25-4022,25-4022.00,Librarians and Media Collections Specialists,Education and Training,3.97,08/2022,4
25-4022,25-4022.00,Librarians and Media Collections Specialists,Administrative,3.84,08/2022,5
25-4022,25-4022.00,Librarians and Media Collections Specialists,Communications and Media,3.27,08/2022,6
25-4022,25-4022.00,Librarians and Media Collections Specialists,Administration and Management,3.25,08/2022,7
25-4022,25-4022.00,Librarians and Media Collections Specialists,Psychology,2.71,08/2022,8
25-4022,25-4022.00,Librarians and Media Collections Specialists,Mathematics,2.65,08/2022,9
25-4022,25-4022.00,Librarians and Media Collections Specialists,Public Safety and Security,2.65,08/2022,10
25-4022,25-4022.00,Librarians and Media Collections Specialists,Sales and Marketing,2.58,08/2022,11
25-4022,25-4022.00,Librarians and Media Collections Specialists,Personnel and Human Resources,2.56,08/2022,12
25-4022,25-4022.00,Librarians and Media Collections Specialists,Sociology and Anthropology,2.52,08/2022,13
25-4022,25-4022.00,Librarians and Media Collections Specialists,Law and Government,2.51,08/2022,14
25-4022,25-4022.00,Librarians and Media Collections Specialists,Geography,2.49,08/2022,15
25-4031,25-4031.00,Library Technicians,Customer and Personal Service,4.1,07/2017,1
25-4031,25-4031.00,Library Technicians,English Language,3.83,07/2017,2
25-4031,25-4031.00,Library Technicians,Administrative,3.36,07/2017,3
25-4031,25-4031.00,Library Technicians,Computers and Electronics,3.3,07/2017,4
25-4031,25-4031.00,Library Technicians,Education and Training,3.16,07/2017,5
25-4031,25-4031.00,Library Technicians,Communications and Media,2.84,07/2017,6
25-4031,25-4031.00,Library Technicians,Psychology,2.62,07/2017,7
25-4031,25-4031.00,Library Technicians,Mathematics,2.61,07/2017,8
25-4031,25-4031.00,Library Technicians,Public Safety and Security,2.59,07/2017,9
25-4031,25-4031.00,Library Technicians,Geography,2.38,07/2017,10
25-4031,25-4031.00,Library Technicians,Sociology and Anthropology,2.15,07/2017,11
25-4031,25-4031.00,Library Technicians,Administration and Management,2.09,07/2017,12
25-4031,25-4031.00,Library Technicians,Telecommunications,2.0,07/2017,13
25-4031,25-4031.00,Library Technicians,Economics and Accounting,1.92,07/2017,14
25-4031,25-4031.00,Library Technicians,Production and Processing,1.91,07/2017,15
25-9031,25-9031.00,Instructional Coordinators,Education and Training,4.78,08/2018,1
25-9031,25-9031.00,Instructional Coordinators,English Language,4.32,08/2018,2
25-9031,25-9031.00,Instructional Coordinators,Administration and Management,3.79,08/2018,3
25-9031,25-9031.00,Instructional Coordinators,Mathematics,3.68,08/2018,4
25-9031,25-9031.00,Instructional Coordinators,Computers and Electronics,3.6,08/2018,5
25-9031,25-9031.00,Instructional Coordinators,Customer and Personal Service,3.47,08/2018,6
25-9031,25-9031.00,Instructional Coordinators,Public Safety and Security,3.47,08/2018,7
25-9031,25-9031.00,Instructional Coordinators,Personnel and Human Resources,3.41,08/2018,8
25-9031,25-9031.00,Instructional Coordinators,Communications and Media,3.35,08/2018,9
25-9031,25-9031.00,Instructional Coordinators,Sociology and Anthropology,3.28,08/2018,10
25-9031,25-9031.00,Instructional Coordinators,Philosophy and Theology,3.21,08/2018,11
25-9031,25-9031.00,Instructional Coordinators,Psychology,3.14,08/2018,12
25-9031,25-9031.00,Instructional Coordinators,Administrative,3.11,08/2018,13
25-9031,25-9031.00,Instructional Coordinators,History and Archeology,2.93,08/2018,14
25-9031,25-9031.00,Instructional Coordinators,Therapy and Counseling,2.87,08/2018,15
25-9042,25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",Customer and Personal Service,4.11,08/2024,1
25-9042,25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",English Language,3.8,08/2024,2
25-9042,25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",Psychology,3.76,08/2024,3
25-9042,25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",Mathematics,3.52,08/2024,4
25-9042,25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",Education and Training,3.48,08/2024,5
25-9042,25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",Public Safety and Security,3.3,08/2024,6
25-9042,25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",Administrative,3.16,08/2024,7
25-9042,25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",Sociology and Anthropology,3.08,08/2024,8
25-9042,25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",Geography,2.99,08/2024,9
25-9042,25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",Therapy and Counseling,2.97,08/2024,10
25-9042,25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",Administration and Management,2.9,08/2024,11
25-9042,25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",Computers and Electronics,2.79,08/2024,12
25-9042,25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",Foreign Language,2.62,08/2024,13
25-9042,25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",History and Archeology,2.5,08/2024,14
25-9042,25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",Biology,2.4,08/2024,15
25-9043,25-9043.00,"Teaching Assistants, Special Education",English Language,3.51,08/2025,1
25-9043,25-9043.00,"Teaching Assistants, Special Education",Psychology,3.37,08/2025,2
25-9043,25-9043.00,"Teaching Assistants, Special Education",Education and Training,2.87,08/2025,3
25-9043,25-9043.00,"Teaching Assistants, Special Education",Customer and Personal Service,2.84,08/2025,4
25-9043,25-9043.00,"Teaching Assistants, Special Education",Mathematics,2.67,08/2025,5
25-9043,25-9043.00,"Teaching Assistants, Special Education",Public Safety and Security,2.57,08/2025,6
25-9043,25-9043.00,"Teaching Assistants, Special Education",History and Archeology,2.55,08/2025,7
25-9043,25-9043.00,"Teaching Assistants, Special Education",Geography,2.43,08/2025,8
25-9043,25-9043.00,"Teaching Assistants, Special Education",Sociology and Anthropology,2.36,08/2025,9
25-9043,25-9043.00,"Teaching Assistants, Special Education",Therapy and Counseling,2.36,08/2025,10
25-9043,25-9043.00,"Teaching Assistants, Special Education",Communications and Media,2.36,08/2025,11
25-9043,25-9043.00,"Teaching Assistants, Special Education",Philosophy and Theology,2.33,08/2025,12
25-9043,25-9043.00,"Teaching Assistants, Special Education",Computers and Electronics,2.25,08/2025,13
25-9043,25-9043.00,"Teaching Assistants, Special Education",Medicine and Dentistry,2.23,08/2025,14
25-9043,25-9043.00,"Teaching Assistants, Special Education",Administration and Management,2.15,08/2025,15
25-9044,25-9044.00,"Teaching Assistants, Postsecondary",English Language,4.68,07/2016,1
25-9044,25-9044.00,"Teaching Assistants, Postsecondary",Education and Training,4.45,07/2016,2
25-9044,25-9044.00,"Teaching Assistants, Postsecondary",Computers and Electronics,3.52,07/2016,3
25-9044,25-9044.00,"Teaching Assistants, Postsecondary",Mathematics,3.27,07/2016,4
25-9044,25-9044.00,"Teaching Assistants, Postsecondary",Communications and Media,2.91,07/2016,5
25-9044,25-9044.00,"Teaching Assistants, Postsecondary",Psychology,2.65,07/2016,6
25-9044,25-9044.00,"Teaching Assistants, Postsecondary",Administrative,2.64,07/2016,7
25-9044,25-9044.00,"Teaching Assistants, Postsecondary",Sociology and Anthropology,2.48,07/2016,8
25-9044,25-9044.00,"Teaching Assistants, Postsecondary",Customer and Personal Service,2.38,07/2016,9
25-9044,25-9044.00,"Teaching Assistants, Postsecondary",Biology,2.37,07/2016,10
25-9044,25-9044.00,"Teaching Assistants, Postsecondary",Administration and Management,2.29,07/2016,11
25-9044,25-9044.00,"Teaching Assistants, Postsecondary",History and Archeology,2.29,07/2016,12
25-9044,25-9044.00,"Teaching Assistants, Postsecondary",Public Safety and Security,2.24,07/2016,13
25-9044,25-9044.00,"Teaching Assistants, Postsecondary",Philosophy and Theology,2.2,07/2016,14
25-9044,25-9044.00,"Teaching Assistants, Postsecondary",Fine Arts,2.17,07/2016,15
27-1011,27-1011.00,Art Directors,Design,4.35,08/2023,1
27-1011,27-1011.00,Art Directors,English Language,4.25,08/2023,2
27-1011,27-1011.00,Art Directors,Computers and Electronics,4.24,08/2023,3
27-1011,27-1011.00,Art Directors,Fine Arts,4.19,08/2023,4
27-1011,27-1011.00,Art Directors,Communications and Media,4.12,08/2023,5
27-1011,27-1011.00,Art Directors,Sales and Marketing,3.66,08/2023,6
27-1011,27-1011.00,Art Directors,Customer and Personal Service,3.34,08/2023,7
27-1011,27-1011.00,Art Directors,Production and Processing,2.97,08/2023,8
27-1011,27-1011.00,Art Directors,Administration and Management,2.95,08/2023,9
27-1011,27-1011.00,Art Directors,Sociology and Anthropology,2.74,08/2023,10
27-1011,27-1011.00,Art Directors,Administrative,2.73,08/2023,11
27-1011,27-1011.00,Art Directors,Telecommunications,2.67,08/2023,12
27-1011,27-1011.00,Art Directors,Education and Training,2.55,08/2023,13
27-1011,27-1011.00,Art Directors,Engineering and Technology,2.43,08/2023,14
27-1011,27-1011.00,Art Directors,Psychology,2.31,08/2023,15
27-1013,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",Design,4.35,07/2017,1
27-1013,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",Computers and Electronics,4.24,07/2017,2
27-1013,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",English Language,3.87,07/2017,3
27-1013,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",Production and Processing,3.59,07/2017,4
27-1013,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",Fine Arts,3.45,07/2017,5
27-1013,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",Education and Training,3.41,07/2017,6
27-1013,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",Communications and Media,3.36,07/2017,7
27-1013,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",Customer and Personal Service,3.32,07/2017,8
27-1013,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",Mathematics,3.2,07/2017,9
27-1013,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",Administration and Management,3.05,07/2017,10
27-1013,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",Psychology,2.8,07/2017,11
27-1013,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",Geography,2.72,07/2017,12
27-1013,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",Administrative,2.7,07/2017,13
27-1013,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",Engineering and Technology,2.63,07/2017,14
27-1013,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",Sales and Marketing,2.56,07/2017,15
27-1014,27-1014.00,Special Effects Artists and Animators,Computers and Electronics,4.95,08/2019,1
27-1014,27-1014.00,Special Effects Artists and Animators,English Language,4.38,08/2019,2
27-1014,27-1014.00,Special Effects Artists and Animators,Design,4.22,08/2019,3
27-1014,27-1014.00,Special Effects Artists and Animators,Communications and Media,4.11,08/2019,4
27-1014,27-1014.00,Special Effects Artists and Animators,Customer and Personal Service,3.94,08/2019,5
27-1014,27-1014.00,Special Effects Artists and Animators,Sales and Marketing,3.87,08/2019,6
27-1014,27-1014.00,Special Effects Artists and Animators,Telecommunications,3.45,08/2019,7
27-1014,27-1014.00,Special Effects Artists and Animators,Engineering and Technology,3.19,08/2019,8
27-1014,27-1014.00,Special Effects Artists and Animators,Production and Processing,3.15,08/2019,9
27-1014,27-1014.00,Special Effects Artists and Animators,Geography,3.01,08/2019,10
27-1014,27-1014.00,Special Effects Artists and Animators,Administration and Management,2.94,08/2019,11
27-1014,27-1014.00,Special Effects Artists and Animators,Fine Arts,2.89,08/2019,12
27-1014,27-1014.00,Special Effects Artists and Animators,Administrative,2.8,08/2019,13
27-1014,27-1014.00,Special Effects Artists and Animators,Mathematics,2.47,08/2019,14
27-1014,27-1014.00,Special Effects Artists and Animators,Education and Training,2.2,08/2019,15
27-1021,27-1021.00,Commercial and Industrial Designers,Design,4.71,08/2019,1
27-1021,27-1021.00,Commercial and Industrial Designers,Engineering and Technology,4.7,08/2019,2
27-1021,27-1021.00,Commercial and Industrial Designers,Production and Processing,4.04,08/2019,3
27-1021,27-1021.00,Commercial and Industrial Designers,Mechanical,4.04,08/2019,4
27-1021,27-1021.00,Commercial and Industrial Designers,Computers and Electronics,3.9,08/2019,5
27-1021,27-1021.00,Commercial and Industrial Designers,Mathematics,3.72,08/2019,6
27-1021,27-1021.00,Commercial and Industrial Designers,English Language,3.57,08/2019,7
27-1021,27-1021.00,Commercial and Industrial Designers,Physics,3.1,08/2019,8
27-1021,27-1021.00,Commercial and Industrial Designers,Sales and Marketing,3.03,08/2019,9
27-1021,27-1021.00,Commercial and Industrial Designers,Administrative,3.01,08/2019,10
27-1021,27-1021.00,Commercial and Industrial Designers,Administration and Management,2.97,08/2019,11
27-1021,27-1021.00,Commercial and Industrial Designers,Customer and Personal Service,2.96,08/2019,12
27-1021,27-1021.00,Commercial and Industrial Designers,Education and Training,2.79,08/2019,13
27-1021,27-1021.00,Commercial and Industrial Designers,Communications and Media,2.49,08/2019,14
27-1021,27-1021.00,Commercial and Industrial Designers,Personnel and Human Resources,2.44,08/2019,15
27-1022,27-1022.00,Fashion Designers,Design,4.41,08/2024,1
27-1022,27-1022.00,Fashion Designers,Computers and Electronics,3.35,08/2024,2
27-1022,27-1022.00,Fashion Designers,Production and Processing,3.25,08/2024,3
27-1022,27-1022.00,Fashion Designers,Sales and Marketing,3.19,08/2024,4
27-1022,27-1022.00,Fashion Designers,English Language,3.13,08/2024,5
27-1022,27-1022.00,Fashion Designers,Fine Arts,2.7,08/2024,6
27-1022,27-1022.00,Fashion Designers,Administration and Management,2.57,08/2024,7
27-1022,27-1022.00,Fashion Designers,Personnel and Human Resources,2.44,08/2024,8
27-1022,27-1022.00,Fashion Designers,Mathematics,2.28,08/2024,9
27-1022,27-1022.00,Fashion Designers,Education and Training,2.24,08/2024,10
27-1022,27-1022.00,Fashion Designers,Communications and Media,2.14,08/2024,11
27-1022,27-1022.00,Fashion Designers,Transportation,2.06,08/2024,12
27-1022,27-1022.00,Fashion Designers,Administrative,2.03,08/2024,13
27-1022,27-1022.00,Fashion Designers,Customer and Personal Service,2.0,08/2024,14
27-1022,27-1022.00,Fashion Designers,Foreign Language,1.96,08/2024,15
27-1023,27-1023.00,Floral Designers,Customer and Personal Service,4.07,07/2015,1
27-1023,27-1023.00,Floral Designers,Production and Processing,3.55,07/2015,2
27-1023,27-1023.00,Floral Designers,Sales and Marketing,3.47,07/2015,3
27-1023,27-1023.00,Floral Designers,Design,3.41,07/2015,4
27-1023,27-1023.00,Floral Designers,English Language,3.39,07/2015,5
27-1023,27-1023.00,Floral Designers,Administration and Management,2.94,07/2015,6
27-1023,27-1023.00,Floral Designers,Administrative,2.53,07/2015,7
27-1023,27-1023.00,Floral Designers,Mathematics,2.53,07/2015,8
27-1023,27-1023.00,Floral Designers,Transportation,2.51,07/2015,9
27-1023,27-1023.00,Floral Designers,Education and Training,2.44,07/2015,10
27-1023,27-1023.00,Floral Designers,Telecommunications,2.24,07/2015,11
27-1023,27-1023.00,Floral Designers,Economics and Accounting,2.19,07/2015,12
27-1023,27-1023.00,Floral Designers,Psychology,2.17,07/2015,13
27-1023,27-1023.00,Floral Designers,Fine Arts,2.09,07/2015,14
27-1023,27-1023.00,Floral Designers,Computers and Electronics,2.06,07/2015,15
27-1026,27-1026.00,Merchandise Displayers and Window Trimmers,Customer and Personal Service,3.85,07/2015,1
27-1026,27-1026.00,Merchandise Displayers and Window Trimmers,Sales and Marketing,3.78,07/2015,2
27-1026,27-1026.00,Merchandise Displayers and Window Trimmers,English Language,3.3,07/2015,3
27-1026,27-1026.00,Merchandise Displayers and Window Trimmers,Administration and Management,3.15,07/2015,4
27-1026,27-1026.00,Merchandise Displayers and Window Trimmers,Design,2.84,07/2015,5
27-1026,27-1026.00,Merchandise Displayers and Window Trimmers,Computers and Electronics,2.81,07/2015,6
27-1026,27-1026.00,Merchandise Displayers and Window Trimmers,Communications and Media,2.73,07/2015,7
27-1026,27-1026.00,Merchandise Displayers and Window Trimmers,Mathematics,2.46,07/2015,8
27-1026,27-1026.00,Merchandise Displayers and Window Trimmers,Personnel and Human Resources,2.33,07/2015,9
27-1026,27-1026.00,Merchandise Displayers and Window Trimmers,Education and Training,2.27,07/2015,10
27-1026,27-1026.00,Merchandise Displayers and Window Trimmers,Administrative,2.25,07/2015,11
27-1026,27-1026.00,Merchandise Displayers and Window Trimmers,Public Safety and Security,2.17,07/2015,12
27-1026,27-1026.00,Merchandise Displayers and Window Trimmers,Building and Construction,2.04,07/2015,13
27-1026,27-1026.00,Merchandise Displayers and Window Trimmers,Psychology,2.01,07/2015,14
27-1026,27-1026.00,Merchandise Displayers and Window Trimmers,Production and Processing,2.0,07/2015,15
27-2011,27-2011.00,Actors,Fine Arts,4.67,07/2017,1
27-2011,27-2011.00,Actors,English Language,4.31,07/2017,2
27-2011,27-2011.00,Actors,Communications and Media,4.12,07/2017,3
27-2011,27-2011.00,Actors,Sociology and Anthropology,3.44,07/2017,4
27-2011,27-2011.00,Actors,Psychology,3.26,07/2017,5
27-2011,27-2011.00,Actors,Customer and Personal Service,3.08,07/2017,6
27-2011,27-2011.00,Actors,Sales and Marketing,2.89,07/2017,7
27-2011,27-2011.00,Actors,Education and Training,2.73,07/2017,8
27-2011,27-2011.00,Actors,History and Archeology,2.59,07/2017,9
27-2011,27-2011.00,Actors,Administration and Management,2.56,07/2017,10
27-2011,27-2011.00,Actors,Philosophy and Theology,2.52,07/2017,11
27-2011,27-2011.00,Actors,Design,2.35,07/2017,12
27-2011,27-2011.00,Actors,Computers and Electronics,2.24,07/2017,13
27-2011,27-2011.00,Actors,Therapy and Counseling,2.22,07/2017,14
27-2011,27-2011.00,Actors,Administrative,2.21,07/2017,15
27-2012,27-2012.03,Media Programming Directors,Communications and Media,4.89,08/2023,1
27-2012,27-2012.05,Media Technical Directors/Managers,Communications and Media,4.75,08/2019,2
27-2012,27-2012.00,Producers and Directors,Communications and Media,4.72,08/2022,3
27-2012,27-2012.03,Media Programming Directors,Computers and Electronics,4.46,08/2023,4
27-2012,27-2012.03,Media Programming Directors,English Language,4.37,08/2023,5
27-2012,27-2012.05,Media Technical Directors/Managers,Computers and Electronics,4.34,08/2019,6
27-2012,27-2012.04,Talent Directors,English Language,4.2,08/2019,7
27-2012,27-2012.05,Media Technical Directors/Managers,English Language,4.13,08/2019,8
27-2012,27-2012.04,Talent Directors,Customer and Personal Service,4.02,08/2019,9
27-2012,27-2012.03,Media Programming Directors,Administration and Management,3.9,08/2023,10
27-2012,27-2012.00,Producers and Directors,English Language,3.86,08/2022,11
27-2012,27-2012.03,Media Programming Directors,Telecommunications,3.86,08/2023,12
27-2012,27-2012.03,Media Programming Directors,Customer and Personal Service,3.85,08/2023,13
27-2012,27-2012.05,Media Technical Directors/Managers,Telecommunications,3.76,08/2019,14
27-2012,27-2012.00,Producers and Directors,Telecommunications,3.74,08/2022,15
27-2021,27-2021.00,Athletes and Sports Competitors,Administration and Management,3.72,07/2016,1
27-2021,27-2021.00,Athletes and Sports Competitors,English Language,3.69,07/2016,2
27-2021,27-2021.00,Athletes and Sports Competitors,Customer and Personal Service,3.58,07/2016,3
27-2021,27-2021.00,Athletes and Sports Competitors,Personnel and Human Resources,3.39,07/2016,4
27-2021,27-2021.00,Athletes and Sports Competitors,Communications and Media,3.31,07/2016,5
27-2021,27-2021.00,Athletes and Sports Competitors,Education and Training,3.23,07/2016,6
27-2021,27-2021.00,Athletes and Sports Competitors,Sales and Marketing,3.17,07/2016,7
27-2021,27-2021.00,Athletes and Sports Competitors,Mathematics,3.07,07/2016,8
27-2021,27-2021.00,Athletes and Sports Competitors,Public Safety and Security,2.88,07/2016,9
27-2021,27-2021.00,Athletes and Sports Competitors,Administrative,2.87,07/2016,10
